Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,Time period details,GeoCode,Value
2016,Normal value,Units,Country Data,National_SDG_Report,Number of endangered animal species,,Number,2016,,106
2016,Normal value,Units,Country Data,National_SDG_Report,Nombre d'espèces végétale en danger,,Number,2016,,132
