Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,Normal value,Units,Country Data,National_SDG_Report,_L_CM_090301_01,,Percent,,5.3
2016,Normal value,Units,Country Data,National_SDG_Report,_L_CM_090301_02,,Percent,,3.1
