Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_120402_01,,Percent,,64.4
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_120402_02,,Percent,,5.7
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_120402_03,,Percent,,30.0
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_120402_04,,Percent,,22.5
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_120402_05,,Percent,,5.3
