Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,Normal value,Thousands,Country Data,National_SDG_Report,_L_CM_150301_01,,Hectares,,12000
2016,Normal value,Thousands,Country Data,National_SDG_Report,_L_CM_150301_02,,Hectares,,26
