Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,Normal value,Units,Country Data,National_SDG_Report,_L_CM_170101_01,,Percent,,14.6
2017,Normal value,Units,Country Data,National_SDG_Report,_L_CM_170101_01,,Percent,,15.0
2018,Normal value,Units,Country Data,National_SDG_Report,_L_CM_170101_01,,Percent,,15.7
