Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,Normal value,Units,Country Data,National_SDG_Report,Proportion of national budget financed by national taxes (%),,Percent,,65.9
2017,Normal value,Units,Country Data,National_SDG_Report,Proportion of national budget financed by national taxes (%),,Percent,,73.1
2018,Normal value,Units,Country Data,National_SDG_Report,Proportion of national budget financed by national taxes (%),,Percent,,73.2
