Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2013,Normal value,Units,Country Data,National_SDG_Report,_L_CM_030302_01,,"Per 100,000 population",,125
2013,Normal value,Units,Country Data,National_SDG_Report,_L_CM_030302_02,,"Per 100,000 population",,72
