Year,SERIES,Value
2017,"Forest area (Permanent forests), as a percentage of the total land area (%)",24.76
2017,"Forest area (Non-permanent forests), as a percentage of the total land area (%)",21.49
2017,Forest area as a proportion of total land area [15.1.1],46.25
