Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2012,Normal value,Units,Country Data,National_SDG_Report,_L_CM_020302_01,,Local currency,,360439
2012,Normal value,Units,Country Data,National_SDG_Report,_L_CM_020302_01,ADAMAWA,Local currency,CM_AD,479861
2012,Normal value,Units,Country Data,National_SDG_Report,_L_CM_020302_01,CENTRE,Local currency,CM_CE,145966
2012,Normal value,Units,Country Data,National_SDG_Report,_L_CM_020302_01,EAST,Local currency,CM_ES,229255
2012,Normal value,Units,Country Data,National_SDG_Report,_L_CM_020302_01,FAR NORTH,Local currency,CM_EN,243336
2012,Normal value,Units,Country Data,National_SDG_Report,_L_CM_020302_01,LittoraL,Local currency,CM_LT,502447
2012,Normal value,Units,Country Data,National_SDG_Report,_L_CM_020302_01,North,Local currency,CM_NO,430857
2012,Normal value,Units,Country Data,National_SDG_Report,_L_CM_020302_01,North West,Local currency,CM_NW,576369
2012,Normal value,Units,Country Data,National_SDG_Report,_L_CM_020302_01,West,Local currency,CM_OU,210989
2012,Normal value,Units,Country Data,National_SDG_Report,_L_CM_020302_01,South,Local currency,CM_SU,692982
2012,Normal value,Units,Country Data,National_SDG_Report,_L_CM_020302_01,South-West,Local currency,CM_SW,195909
2012,Normal value,Units,Country Data,National_SDG_Report,_L_CM_020302_02,,Local currency,,518831
2012,Normal value,Units,Country Data,National_SDG_Report,_L_CM_020302_02,ADAMAWA,Local currency,CM_AD,1007072
2012,Normal value,Units,Country Data,National_SDG_Report,_L_CM_020302_02,CENTRE,Local currency,CM_CE,572614
2012,Normal value,Units,Country Data,National_SDG_Report,_L_CM_020302_02,EAST,Local currency,CM_ES,779030
2012,Normal value,Units,Country Data,National_SDG_Report,_L_CM_020302_02,FAR NORTH,Local currency,CM_EN,336576
2012,Normal value,Units,Country Data,National_SDG_Report,_L_CM_020302_02,LittoraL,Local currency,CM_LT,835771
2012,Normal value,Units,Country Data,National_SDG_Report,_L_CM_020302_02,North,Local currency,CM_NO,704686
2012,Normal value,Units,Country Data,National_SDG_Report,_L_CM_020302_02,North West,Local currency,CM_NW,260944
2012,Normal value,Units,Country Data,National_SDG_Report,_L_CM_020302_02,West,Local currency,CM_OU,423690
2012,Normal value,Units,Country Data,National_SDG_Report,_L_CM_020302_02,South,Local currency,CM_SU,854499
2012,Normal value,Units,Country Data,National_SDG_Report,_L_CM_020302_02,South-West,Local currency,CM_SW,462931
