Year,SERIES,Value
2011,SH_STA_WAST,5.6
2014,SH_STA_WAST,5.2
2018,SH_STA_WAST,6.0
2011,SN_STA_OVWGT,6.2
2014,SN_STA_OVWGT,6.7
2018,SN_STA_OVWGT,11.0
