Year,Status de l'observation,Multiplicateur d'unité,NATURE,SOURCE_DETAIL,SERIES,Aire Geographique,UNIT_MEASURE,GeoCode,Value
2010,Valeur Normale,Unité,C,National_SDG_Report,"Valeur ajoutée dans l’industrie manufacturière, en pourcentage du PIB (%)",,Pour cent,,14.5
2011,Valeur Normale,Unité,C,National_SDG_Report,"Valeur ajoutée dans l’industrie manufacturière, en pourcentage du PIB (%)",,Pour cent,,14.7
2012,Valeur Normale,Unité,C,National_SDG_Report,"Valeur ajoutée dans l’industrie manufacturière, en pourcentage du PIB (%)",,Pour cent,,15.1
2013,Valeur Normale,Unité,C,National_SDG_Report,"Valeur ajoutée dans l’industrie manufacturière, en pourcentage du PIB (%)",,Pour cent,,15.0
2014,Valeur Normale,Unité,C,National_SDG_Report,"Valeur ajoutée dans l’industrie manufacturière, en pourcentage du PIB (%)",,Pour cent,,14.4
2015,Valeur Normale,Unité,C,National_SDG_Report,"Valeur ajoutée dans l’industrie manufacturière, en pourcentage du PIB (%)",,Pour cent,,14.7
2016,Valeur Normale,Unité,C,National_SDG_Report,"Valeur ajoutée dans l’industrie manufacturière, en pourcentage du PIB (%)",,Pour cent,,14.9
2017,Valeur Normale,Unité,C,National_SDG_Report,"Valeur ajoutée dans l’industrie manufacturière, en pourcentage du PIB (%)",,Pour cent,,15.1
2010,Valeur Normale,Milliers,C,National_SDG_Report,Valeur ajoutée manufacturière par habitant (en milliers de Francs CFA),,Francs CFA XAF,,659.011
2012,Valeur Normale,Milliers,C,National_SDG_Report,Valeur ajoutée manufacturière par habitant (en milliers de Francs CFA),,Francs CFA XAF,,108.6
2013,Valeur Normale,Milliers,C,National_SDG_Report,Valeur ajoutée manufacturière par habitant (en milliers de Francs CFA),,Francs CFA XAF,,113.3
2015,Valeur Normale,Milliers,C,National_SDG_Report,Valeur ajoutée manufacturière par habitant (en milliers de Francs CFA),,Francs CFA XAF,,120.9
2017,Valeur Normale,Milliers,C,National_SDG_Report,Valeur ajoutée manufacturière par habitant (en milliers de Francs CFA),,Francs CFA XAF,,132.2
