Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,Normal value,Units,Country Data,National_SDG_Report,_L_CM_150501_01,,Number,,106
2016,Normal value,Units,Country Data,National_SDG_Report,_L_CM_150501_02,,Number,,132
