Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_070301_01,,Ratio,,614.8
2015,Normal value,Units,Country Data,National_SDG_Report,_L_CM_070301_01,,Ratio,,598.5
