Year,Status de l'observation,Multiplicateur d'unité,NATURE,SOURCE_DETAIL,SERIES,Aire Geographique,UNIT_MEASURE,GeoCode,Value
2016,Valeur Normale,Unité,C,National_SDG_Report,Proportion du budget national financé par les impôts nationaux (%),,Pour cent,,65.9
2017,Valeur Normale,Unité,C,National_SDG_Report,Proportion du budget national financé par les impôts nationaux (%),,Pour cent,,73.1
2018,Valeur Normale,Unité,C,National_SDG_Report,Proportion du budget national financé par les impôts nationaux (%),,Pour cent,,73.2
