Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,Normal value,Units,Country Data,National_SDG_Report,Proportion of enterprises that took out a bank loan at the time of their creation,,Percent,,5.3
2016,Normal value,Units,Country Data,National_SDG_Report,Proportion of micro-enterprises that took out a bank loan at the time of their creation,,Percent,,3.1
