Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2018,A,0,C,National_SDG_Report,_L_CM_030301_1,,F,PT,,3.4
2018,A,0,C,National_SDG_Report,_L_CM_030301_1,,M,PT,,1.9
2004,A,0,C,National_SDG_Report,_L_CM_030301_1,,,PT,,5.5
2011,A,0,C,National_SDG_Report,_L_CM_030301_1,,,PT,,4.3
2014,A,0,C,National_SDG_Report,_L_CM_030301_1,,,PT,,3.4
2018,A,0,C,National_SDG_Report,_L_CM_030301_1,,,PT,,2.7
