Year,Value,SERIES
2017,20.0,_L_CM_050501_1
2020,26.0,_L_CM_050501_1
2023,33.0,_L_CM_050501_1
2017,30.6,_L_CM_050501_2
2018,31.11,_L_CM_050501_2
2023,33.89,_L_CM_050501_2
2017,8.3,_L_CM_050501_3
2023,10.16,_L_CM_050501_3
2017,31.8,_L_CM_050501_4
2023,34.13,_L_CM_050501_4
2015,6.0,_L_CM_050501_5
