Year,Value,SERIES
2011,5.6,SH_STA_WAST
2014,5.2,SH_STA_WAST
2018,6.0,SH_STA_WAST
2011,6.2,SN_STA_OVWGT
2014,6.7,SN_STA_OVWGT
2018,11.0,SN_STA_OVWGT
