Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2002,Normal value,Units,Country Data,National_SDG_Report,Prevalence of undernourishment [2.1.1],,Percent,,30.8
2016,Normal value,Units,Country Data,National_SDG_Report,Prevalence of undernourishment [2.1.1],,Percent,,9.9
