Year,SERIES,Value
1991,SH_DYN_MORT,125
1998,SH_DYN_MORT,151
2004,SH_DYN_MORT,144
2011,SH_DYN_MORT,122
2014,SH_DYN_MORT,112
2018,SH_DYN_MORT,79
1991,SH_DYN_IMRT,64
1998,SH_DYN_IMRT,77
2004,SH_DYN_IMRT,74
2011,SH_DYN_IMRT,62
2014,SH_DYN_IMRT,66
2018,SH_DYN_IMRT,48
