Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2014,A,0,C,National_SDG_Report,_L_CM_030a01_1,,F,PT,,0.3
2014,A,0,C,National_SDG_Report,_L_CM_030a01_1,,M,PT,,11.0
